데리다,"모시다

"
계승되다,"승계되다

"
계승하다,"승계하다

"
계측하다,"계량하다

"
고무되다,"고취되다

"
고무하다,"고취하다

"
고시랑거리다,"고시랑고시랑하다, 고시랑대다
큰말 구시렁거리다

"
고시랑고시랑하다,"고시랑거리다, 고시랑대다
큰말 구시렁구시렁하다

"
고시랑대다,"고시랑거리다, 고시랑고시랑하다
큰말 구시렁대다

"
고이다,"괴다1

"
고이다,"괴다1

"
고자질하다,"이르다2

"
고취되다,"고무되다

"
고취하다,"고무하다

"
고치다,"수리하다2, 수선하다2

"
고치다,"치료하다

"
고치다,"바로잡다

"
곡하다,"통곡하다

"
곡해되다,"오해되다

"
곡해하다,"오해하다

"
골골거리다,"골골대다

"
골골대다,"골골거리다

"
골몰하다,"몰두하다

"
곱씹다,"되새기다, 되씹다

"
곱씹다,"되새기다, 되씹다

"
공감하다,"동감하다

"
공개되다,"개방되다

"
공고되다,"공시되다, 공포되다, 반포되다

"
공고하다,"공시하다, 공포하다, 반포하다

"
공시되다,"공고되다, 공포되다, 반포되다

"
공시하다,"공고하다1, 공포하다, 반포하다

"
공양드리다,"불공드리다

"
공포되다,"공고되다, 공시되다, 반포되다

"
공포하다,"공고하다1, 공시하다, 반포하다

"
공헌하다,"기여하다

"
관련하다,"연관하다

"
관통하다,"꿰뚫다

"
관하다,"대하다

"
괴다,"고이다

"
괴다,"고이다

"
교미하다,"교접하다

"
교접하다,"교미하다

"
교체되다,"대체되다

"
교체하다,"갈다1, 대체하다

"
교합하다,"성교하다

"
구령하다,"호령하다

"
구불거리다,"구불구불하다, 구불대다

"
구불대다,"구불거리다, 구불구불하다

"
구비하다,"갖추다

"
구상화되다,"구체화되다

"
구상화하다,"구체화하다

"
구술하다,"구연하다

"
구시렁거리다,"구시렁구시렁하다, 구시렁대다
작은말 고시랑거리다

"
구시렁구시렁하다,"구시렁거리다, 구시렁대다
작은말 고시랑고시랑하다

"
구시렁대다,"구시렁거리다, 구시렁구시렁하다
작은말 고시랑대다

"
구연하다,"구술하다

"
구제하다,"구하다2

"
구체화되다,"구상화되다

"
구체화하다,"구상화하다

"
구토하다,"게우다, 토하다

"
구하다,"건지다

"
구하다,"구제하다1

"
구혼하다,"청혼하다

"
군것질하다,"주전부리하다

"
군말하다,"군소리하다, 두말하다

"
군말하다,"군소리하다, 두말하다

"
군소리하다,"군말하다, 두말하다

"
굶다,"주리다

"
굼실거리다,"굼실대다, 굼실굼실하다

"
굼실거리다,"굼실대다, 굼실굼실하다

"
굼실굼실하다,"굼실거리다, 굼실대다

"
굼실굼실하다,"굼실거리다, 굼실대다

"
굼실대다,"굼실거리다, 굼실굼실하다

"
굼실대다,"굼실거리다, 굼실굼실하다

"
굽신거리다,"굽실거리다, 굽실대다

"
굽신거리다,"굽실거리다, 굽실대다

"
굽실거리다,"굽신거리다, 굽실굽실하다, 굽실대다

"
굽실거리다,"굽신거리다, 굽실굽실하다, 굽실대다

"
굽실굽실하다,"굽신거리다, 굽실거리다, 굽실대다

"
굽실굽실하다,"굽신거리다, 굽실거리다, 굽실대다

"
굽실대다,"굽신거리다, 굽실거리다, 굽실굽실하다

"
굽실대다,"굽신거리다, 굽실거리다, 굽실굽실하다

"
굽어보다,"굽어살피다

"
굽어살피다,"굽어보다

"
귀국하다,"환국하다

"
귀엣말하다,"귓속말하다

"
귓속말하다,"귀엣말하다

"
그럭저럭하다,"그렁저렁하다

"
그렁저렁하다,"그럭저럭하다

"
근심되다,"걱정되다

"
근심하다,"걱정하다

"
근질거리다,"근질대다
작은말 간질거리다

"
근질거리다,"근질대다
작은말 간질거리다

"
근질대다,"근질거리다

"
근질대다,"근질거리다

"
글썽거리다,"글썽글썽하다, 글썽대다

"
글썽글썽하다,"글썽거리다, 글썽대다

"
글썽대다,"글썽거리다, 글썽글썽하다

"
긁적거리다,"긁적긁적하다, 긁적대다

"
긁적거리다,"긁적긁적하다, 긁적대다

"
긁적긁적하다,"긁적거리다, 긁적대다

"
긁적긁적하다,"긁적거리다, 긁적대다

"
긁적대다,"긁적거리다, 긁적긁적하다

"
긁적대다,"긁적거리다, 긁적긁적하다

"
급등하다,"폭등하다
"
급락하다,"폭락하다
"
급정거하다,"급정차하다

"
급정차하다,"급정거하다

"
기공되다,"착공되다
"
기공하다,"착공하다
"
기도하다,"기원하다2

"
기르다,"키우다

"
기르다,"양육하다

"
기립하다,"일어서다
"
기생하다,"붙어살다

"
기여하다,"공헌하다

"
기우뚱거리다,"기우뚱기우뚱하다1, 기우뚱대다

"
